x,y
33.33,78.98
33.33001,78.97999991
33.33002,78.97999982
33.33003,78.97999973
33.33004,78.97999964
33.33005,78.97999955
33.33006,78.97999946
33.33007,78.97999937
33.33008,78.97999928
33.33009,78.97999919
33.3301,78.9799991
33.33011,78.97999901
33.33012,78.97999892
33.33013,78.97999883
33.33013999,78.97999874
33.33014999,78.97999865
33.33015999,78.97999856
33.33016999,78.97999847
33.33017999,78.97999838
33.33018999,78.97999829
33.33019999,78.9799982
33.33020999,78.97999811
33.33021999,78.97999802
33.33022999,78.97999793
33.33023999,78.97999784
33.33024999,78.97999775
33.33025999,78.97999766
33.33026999,78.97999757
33.33027999,78.97999748
33.33028999,78.97999739
33.33029999,78.9799973
33.33030999,78.97999721
33.33031999,78.97999712
33.33032999,78.97999703
33.33033999,78.97999694
33.33034999,78.97999685
33.33035999,78.97999676
33.33036999,78.97999667
33.33037999,78.97999658
33.33038999,78.97999649
33.33039999,78.9799964
33.33040999,78.97999631
33.33041998,78.97999622
33.33042998,78.97999613
33.33043998,78.97999604
33.33044998,78.97999595
33.33045998,78.97999586
33.33046998,78.97999577
33.33047998,78.97999568
33.33048998,78.97999559
33.33049998,78.9799955
33.33050998,78.97999541
33.33051998,78.97999532
33.33052998,78.97999523
33.33053998,78.97999514
33.33054998,78.97999505
33.33055998,78.97999496
33.33056998,78.97999487
33.33057998,78.97999477
33.33058998,78.97999468
33.33059998,78.97999459
33.33060998,78.9799945
33.33061998,78.97999441
33.33062998,78.97999432
33.33063998,78.97999423
33.33064998,78.97999414
33.33065998,78.97999405
33.33066998,78.97999396
33.33067998,78.97999387
33.33068998,78.97999378
33.33069997,78.97999369
33.33070997,78.9799936
33.33071997,78.97999351
33.33072997,78.97999342
33.33073997,78.97999333
33.33074997,78.97999324
33.33075997,78.97999315
33.33076997,78.97999306
33.33077997,78.97999297
33.33078997,78.97999288
33.33079997,78.97999279
33.33080997,78.9799927
33.33081997,78.97999261
33.33082997,78.97999252
33.33083997,78.97999243
33.33084997,78.97999234
33.33085997,78.97999225
33.33086997,78.97999216
33.33087997,78.97999207
33.33088997,78.97999198
33.33089997,78.97999189
33.33090997,78.9799918
33.33091997,78.97999171
33.33092997,78.97999162
33.33093997,78.97999153
33.33094997,78.97999144
33.33095997,78.97999135
33.33096997,78.97999126
33.33097996,78.97999117
33.33098996,78.97999108
33.33099996,78.97999099
33.33100996,78.9799909
33.33101996,78.97999081
33.33102996,78.97999072
33.33103996,78.97999063
33.33104996,78.97999054
33.33105996,78.97999045
33.33106996,78.97999036
33.33107996,78.97999027
33.33108996,78.97999018
33.33109996,78.97999009
33.33110996,78.97999
33.33111996,78.97998991
33.33112996,78.97998982
33.33113996,78.97998973
33.33114996,78.97998964
33.33115996,78.97998955
33.33116996,78.97998946
33.33117996,78.97998937
33.33118996,78.97998928
33.33119996,78.97998919
33.33120996,78.9799891
33.33121996,78.97998901
33.33122996,78.97998892
33.33123996,78.97998883
33.33124995,78.97998874
33.33125995,78.97998865
33.33126995,78.97998856
33.33127995,78.97998847
33.33128995,78.97998838
33.33129995,78.97998829
33.33130995,78.9799882
33.33131995,78.97998811
33.33132995,78.97998802
33.33133995,78.97998793
33.33134995,78.97998784
33.33135995,78.97998775
33.33136995,78.97998766
33.33137995,78.97998757
33.33138995,78.97998748
33.33139995,78.97998739
33.33140995,78.9799873
33.33141995,78.97998721
33.33142995,78.97998712
33.33143995,78.97998703
33.33144995,78.97998694
33.33145995,78.97998685
33.33146995,78.97998676
33.33147995,78.97998667
33.33148995,78.97998658
33.33149995,78.97998649
33.33150995,78.9799864
33.33151995,78.97998631
33.33152994,78.97998622
33.33153994,78.97998613
33.33154994,78.97998604
33.33155994,78.97998595
33.33156994,78.97998586
33.33157994,78.97998577
33.33158994,78.97998568
33.33159994,78.97998559
33.33160994,78.9799855
33.33161994,78.97998541
33.33162994,78.97998532
33.33163994,78.97998523
33.33164994,78.97998514
33.33165994,78.97998505
33.33166994,78.97998496
33.33167994,78.97998487
33.33168994,78.97998478
33.33169994,78.97998469
33.33170994,78.9799846
33.33171994,78.97998451
33.33172994,78.97998441
33.33173994,78.97998432
33.33174994,78.97998423
33.33175994,78.97998414
33.33176994,78.97998405
33.33177994,78.97998396
33.33178994,78.97998387
33.33179994,78.97998378
33.33180993,78.97998369
33.33181993,78.9799836
33.33182993,78.97998351
33.33183993,78.97998342
33.33184993,78.97998333
